country,stability,rights,health,safety,climate,costs,popularity
Australia,86,92,87,100,90,23,41
Hong Kong,77,85,100,97,49,61,52
San Marino,81,82,91,87,62,61,46
Macao,90,71,100,93,48,61,50
Switzerland,91,99,93,99,34,44,40
Malta,86,72,91,92,75,41,44
Bermuda,89,78,96,93,68,34,35
Luxembourg,93,99,85,100,25,46,42
Singapore,83,89,79,100,45,55,42
Spain,64,73,87,95,74,43,68
Japan,87,86,92,97,54,27,41
Portugal,80,77,82,93,68,44,38
South Korea,81,75,92,95,56,42,41
Germany,82,94,96,95,21,44,42
Austria,83,91,97,98,27,37,43
Norway,89,99,90,99,17,42,37
Cyprus,67,68,77,93,75,53,48
New Zealand,91,100,81,95,36,26,37
Sweden,87,99,85,96,20,40,37
France,72,83,91,93,41,29,71
Finland,85,100,87,93,17,46,32
Canada,85,92,78,97,33,37,45
United States,63,81,71,85,66,37,71
Netherlands,84,98,83,96,21,40,36
Denmark,86,100,85,95,17,35,41
Uruguay,67,79,75,82,78,47,29
United Arab Emirates,82,65,65,93,62,67,28
Slovenia,80,73,83,96,40,57,33
Qatar,77,60,62,94,61,70,38
Croatia,67,58,80,91,57,67,38
Greece,60,61,89,88,70,44,45
Israel,57,72,84,81,81,36,30
Czechia,78,73,90,93,22,49,40
Italy,65,65,87,89,57,30,59
Iceland,82,92,87,97,7,36,33
Chile,66,79,68,87,47,54,33
Belgium,75,87,88,92,20,32,40
Poland,69,67,79,93,27,58,52
Estonia,80,89,81,92,17,43,26
Hungary,70,57,81,88,43,56,48
Ireland,84,90,82,96,2,35,36
Bulgaria,68,51,81,85,49,62,39
United Kingdom,76,91,78,95,6,34,44
Latvia,74,74,77,87,19,55,23
Slovakia,73,67,77,89,35,42,34
Lithuania,77,75,82,88,20,43,23
Bahrain,59,45,61,92,63,72,29
Oman,68,51,64,92,43,68,32
North Macedonia,56,48,70,87,57,64,36
Romania,64,57,73,88,37,68,24
Saudi Arabia,53,45,61,90,52,76,44
Malaysia,70,58,61,91,44,46,44
China,69,37,67,90,54,38,73
Costa Rica,69,69,64,73,44,46,32
Georgia,46,63,67,88,45,58,36
Maldives,64,39,72,87,63,59,18
Samoa,76,63,50,83,46,58,14
Kuwait,66,47,66,88,32,74,26
Paraguay,57,37,51,76,78,66,35
Montenegro,50,52,68,85,53,61,25
Thailand,61,40,65,96,46,55,42
Argentina,41,44,79,78,78,41,34
Morocco,56,40,53,87,81,45,37
Peru,55,46,54,84,70,50,34
Tunisia,38,49,60,82,79,47,40
Sri Lanka,52,43,62,92,57,56,33
Albania,58,43,64,84,55,57,26
Ecuador,61,36,60,88,57,61,25
Mongolia,59,44,60,72,44,70,31
Bosnia and Herzegovina,47,38,69,86,49,70,26
Armenia,36,51,70,93,50,57,23
Jordan,50,48,60,77,52,63,28
Turkey,31,38,64,87,62,59,50
Serbia,54,44,71,87,51,57,11
Senegal,64,47,33,91,52,56,35
South Africa,47,54,31,43,95,49,40
Rwanda,68,48,27,72,61,58,36
Algeria,35,24,61,97,77,55,37
Kazakhstan,54,36,69,82,40,60,33
Vietnam,67,35,54,76,52,51,34
Indonesia,61,44,39,98,40,54,39
Bolivia,57,28,45,68,85,51,33
Moldova,51,41,67,84,40,62,15
Trinidad and Tobago,68,50,61,39,51,48,30
Timor-Leste,65,37,42,42,73,67,23
India,48,46,35,79,62,45,49
Mexico,46,37,54,52,82,34,53
Ukraine,42,36,71,82,33,60,39
Dominican Republic,50,41,52,67,61,49,30
Jamaica,55,52,51,37,73,47,18
Madagascar,49,28,22,86,77,66,33
Russia,47,26,74,75,33,62,43
Brazil,37,45,63,60,65,44,32
Tanzania,51,34,21,57,88,56,46
Ghana,48,51,26,95,56,42,38
Egypt,36,26,44,83,67,59,45
Nepal,53,35,34,89,56,57,28
Malawi,42,38,20,78,83,50,39
Suriname,44,43,50,73,35,62,37
Kenya,41,33,25,72,90,45,43
Laos,68,19,30,76,48,73,35
Pakistan,24,26,31,92,72,63,40
Philippines,52,39,45,67,49,46,35
Colombia,47,46,62,30,55,46,28
Gambia,47,38,21,79,57,58,31
Azerbaijan,46,24,70,38,56,64,19
Honduras,46,26,46,43,78,57,23
Guatemala,52,28,44,71,61,45,26
Kyrgyzstan,36,27,57,58,48,71,25
Bangladesh,43,26,44,74,50,61,33
Lebanon,10,25,65,76,71,41,45
El Salvador,59,39,49,21,66,50,14
Belarus,37,28,82,81,22,40,37
Cambodia,56,19,28,68,52,66,35
Uganda,48,30,14,62,71,57,37
Zambia,34,32,18,60,68,58,47
Lesotho,36,40,12,24,89,57,37
Gabon,48,25,32,52,44,46,73
Burma,31,24,32,63,50,73,33
Nicaragua,45,18,45,73,61,41,25
Togo,49,29,12,75,51,54,39
Tajikistan,51,13,53,58,48,51,34
Iran,19,15,60,79,58,43,41
Ivory Coast,47,36,11,58,53,57,37
Ethiopia,27,31,16,31,81,63,42
Burundi,31,11,9,62,76,66,54
Sierra Leone,38,34,6,69,43,64,47
Zimbabwe,29,14,13,74,92,37,36
Angola,27,24,10,55,63,53,31
Afghanistan,28,9,20,19,64,63,63
Mozambique,36,26,10,4,81,53,35
Iraq,16,12,42,29,37,75,33
Cameroon,40,19,9,27,60,51,34
Nigeria,18,24,12,23,54,57,39
Chad,46,12,0,31,50,49,44
Sudan,8,11,18,55,40,66,24
Congo (Dem. Republic),32,7,6,10,54,60,36
